Name|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
||||||||
(health) clinic or infirmary or doctor|amenity=clinic, amenity=doctors, amenity=hospital, healthcare=clinic, healthcare=doctor, healthcare=hospital, healthcare=yes||Facility daily needs|Services|type [1]|[health] clinic or infirmary or doctor||PlaceInfo#category
3 levels above ground levels in a building|building:levels=3|||||||
3 levels space between ground level and bottom level of building|building:min_level=3|||||||
3 levels space between roof of part of building and top level of building|building:max_level=3|||||||
a bioreactor for the production of biogas from biomas|building=digester|||||||
a passage on foot designed to allow one person at a time to pass|barrier=turnstile|||||||
abbreviation||abbrevation=user defined|General building information|Formal information|name [4]|abbreviation||
access conditions are unknown or unclear|access=unknown|||||||
access for persons of the female sex or gender|female=yes|||||||
access for persons of the male sex or gender|male=yes|||||||
access for vehicles in general is not allowed|vehicle=private|||||||
access is not allowed|access=no|||||||
access key holder at doorway|access=private, door=yes|key_holder=yes|Building characteristics|Doorways|access [1]|key holder||
access keys for elevator|access=private, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|access [2]|keys||
access lecturer zone barrier-free: yes / yes, via separate input / no|room=lecture||General help for orientation / Technical assistance|Rooms / venues / offices|lecturer zone|access lecturer zone barrier-free: yes / yes, via separate input / no||
access only for agricultural traffic|access=agricultural|||||||
access only for customers|access=customers, access:disabled=customers, disabled=customers|||||||
access only for delivering goods to or from a customer|access=delivery|||||||
access only for forestry vehicles|access=forestry |||||||
access only if you dismount|access=dismount|||||||
access only when traveling to this area|access=destination, access:disabled=destination, disabled=destination|||||||
access only with key|access=private|||||||
access only with permit|access=permit, disabled=permit|||||||WheelchairParking#neededParkingPermits
access permission for cyclists|bicycle=yes|||||||
access restrictions|access=private||General building information|Formal information|access restrictions|||PlaceInfo#accessibility
access to all persons regardless of sex or gender|unisex=yes|||||||
access to doorway|access=yes, door=yes||Building characteristics|Doorways|access [1]|||
access to elevator|access=yes, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|access [2]|||
access to escalators|access=yes, escalator=yes||Change Elevation|Escalators|access [4]|||
access to floor (pathway)|access=yes, highway=corridor, highway=footway, highway=path||Building characteristics|Floor (pathway)|access [5]|||
access to toilet / toilet compartment|access=yes, amenity=toilets, building=toilets, room=toilet, toilets=yes, toilets_access=community, toilets_access=public, toilets:wheelchair=yes||Facility daily needs|Toilet / toilet compartment|access [3]|||Restroom#toilet
accessibility sign existence at accessible parking place, min 60inch high|"access=yes, access:disabled=yes, amenity=parking, height=0'60"", information=guidepost, wheelchair=yes"|sign=yes, sign=accessible_parking|Way to building|Accessible parking|sign [1]|accessibility sign existence, min 60inch high|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairParking#count, WheelchairParking#distanceToEntrance, WheelchairParking#hasDedicatedSignage, WheelchairParking#isLocatedInside, WheelchairParking#length, WheelchairParking#location, WheelchairParking#maxVehicleHeight, WheelchairParking#neededParkingPermits, WheelchairParking#paymentBySpace, WheelchairParking#paymentByZone, WheelchairParking#width
accessible door usable and under maintenance|access=no, access=yes, access=unknown, door=yes, usability=no, usability=yes, wheelchair=yes|access=under_maintenance|Building characteristics|Doorways|access [1]|usable / maintenance|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, EquipmentProperties#door, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair
accessible doorway|access=yes, access:disabled=yes, door=yes, wheelchair=yes||Building characteristics|Doorways|accessibility [1]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, EquipmentProperties#door, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair
accessible elevator|access=yes, access:disabled=yes, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator, wheelchair=yes||Change Elevation|Elevator|accessibility [2]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair
accessible for 1 disabled person|access:disabled=1, disabled=1, disabled_spaces=1, wheelchair=yes||||||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
accessible for 2 disabled persons|access:disabled=2, disabled=2, disabled_spaces=2, wheelchair=yes||||||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
