Name|Semantic tags|"Doppelzuordnung ""Building"" und ""Outdoor"" & Begründung"|Implikationen|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
all public spaces are on at least one accessible route|<NAV>|ja; auch für logische Outdoor-Räume||access=yes, access:disabled=yes, wheelchair=yes|route=accessible|Building characteristics|Floor (pathway)|are all public spaces on at least one accessible route?||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, EquipmentProperties#alternativeRouteInstructions, PlaceInfo#accessibility
hospital is equipped to deal with emergencies or that a road is accessible to emergency services|<EMG>|ja; explizite Begründung schon in Feature-Namen||emergency=yes|||||||
name of public transport station|<TRS>|ja; für Gebäude, Outdoor-Fläche inkl. Gebäude, Outdoor-Fläche ohne Gebäude||name=user defined, public_transport=station||Way to building|Way to public transport|name of station|||PlaceInfo#name
station is an area designed to access public transport|<TRS>|ja; für Gebäude, Outdoor-Fläche inkl. Gebäude, Outdoor-Fläche ohne Gebäude||public_transport=station|||||||
general value for street-art|<OBJ>|ja; kann an Gebäude oder an Outdoor-Wand sein||artwork_type=streetart, artwork_type=street_art|||||||
Preselected flat area for a helicopter to land in an emergency situation|<STRUCT>|ja; kann auf Gebäudefläche (-dach) sein, aber auch in Außenbereich unabh. eines Gebäudes||emergency=landing_site|||||||
lifeboat station|<EMG>|ja; kann eigenes Gebäude sein||emergency=life_boat_station|||||||
hospital providing in-patient medical treatment|<EMG> <TYP>|ja; kann Gebäude oder Gelände mit Gebäuden sein||amenity=hospital|||||||
primary or secondary school|<TYP>|ja; kann Gebäude oder Gelände mit Gebäuden sein||amenity=school|||||||
rammed earth wall|<STRUCT>|ja; kann zu Haus gehören, aber z.B. auch Befestigungsanlage sein und da ggf. nicht Gebäudeteil||wall=pise|||||||
remarkable building or architectural physical structure|<PROP>|ja; nicht jedes Bauwerk muss (subjektiv) als Gebäude bezeichnet werden - eine Bezeichnung, die Innenräume implizieren kann; Beispiel: Triumphbögen||artwork_type=architecture|||||||
yard of building, can be mapped as part (e.g. enclosed by it) or not|<STRUCT>|"ja; Zusammenführung von ""yard"" mit und ohne ""building=yes"" OSM-Tag"|keine Indoor-Informationen im gesamten durch Fläche definierten vertikalen Raum|building=yes, man_made=courtyard||General building information|Formal information|yard|||
building with one or more soft storey|<STRUCT>|nein|beschränkte Indoor-Fläche der betroffenen Stockwerke sollte erfasst werden|building:soft_storey=yes|||||||PlaceInfo#category
reinforcing measures have been put in place|<STRUCT>|nein|beschränkte Indoor-Fläche der betroffenen Stockwerke sollte erfasst werden|building:soft_storey=reinforced|||||||
tunnel passage that goes through/under a building|<STRUCT>|nein|beschränkte Indoor-Fläche der betroffenen Stockwerke sollte erfasst werden|tunnel=building_passage||General building information|Formal information|tunnels between buildings or parts of buildings|||
3 above-ground levels in a building|<LVL>|nein|Indoor-Objekte max. auf 3. überidischem Stockwerk|building:levels=3|||||||
3 levels space between roof of part of building and top level of building|<LVL>|nein|Indoor-Objekte max. auf 3. überird. St. in Gebäudeteil|building:max_level=3|||||||
