Name|Semantic tags|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
access conditions are unknown or unclear|<ACC>|access=unknown|||||||
access for persons of the female sex or gender|<ACC>|female=yes|||||||
access for persons of the male sex or gender|<ACC>|male=yes|||||||
access is not allowed|<ACC>|access=no|||||||
access lecturer zone barrier-free: yes / yes, via separate input / no|<ACC>|room=lecture||General help for orientation / Technical assistance|Rooms / venues / offices|lecturer zone|access lecturer zone barrier-free: yes / yes, via separate input / no||
access only for customers|<ACC>|access=customers, access:disabled=customers, disabled=customers|||||||
access only with key|<ACC>|access=private|||||||
access only for delivering goods to or from a customer|<ACC>|access=delivery|||||||
access only with permit|<ACC>|access=permit, disabled=permit|||||||WheelchairParking#neededParkingPermits
access restrictions|<ACC>|access=private||General building information|Formal information|access restrictions|||PlaceInfo#accessibility
access to all persons regardless of sex or gender|<ACC>|unisex=yes|||||||
access to floor (pathway)|<ACC>|access=yes, highway=corridor, highway=footway, highway=path||Building characteristics|Floor (pathway)|access [5]|||
all animals are allowed|<ACC>|animal=yes, dog=yes|||||||AnimalPolicy#allowsAnyAnimals
alternating access for persons of the female sex or gender only|<ACC>|female=alternating|||||||
alternating access for persons of the male sex or gender|<ACC>|male=alternating|||||||
dogs need a muzzle|<ACC>|dog=designated, dog=leashed, dog=unleashed, dog=yes|dog=muzzle||||||AnimalPolicy#dogsNeedMuzzle
euro key does not fit|<ACC>|euro_key=no|||||||Door#needsEuroKey
eurokey opens door|<ACC>|centralkey=eurokey|||||||Door#needsEuroKey
indicates that dogs are allowed|<ACC>|dog=yes|||||||AnimalPolicy#allowsDogs, AnimalPolicy#allowsGuideDogs
indicates that dogs are allowed if on leash|<ACC>|dog=leashed|||||||AnimalPolicy#allowsDogs, AnimalPolicy#allowsGuideDogs
indicates that dogs are allowed, and do not need to be leashed|<ACC>|dog=unleashed|||||||AnimalPolicy#allowsDogs, AnimalPolicy#allowsGuideDogs
key from Master Locksmiths Association opens door|<ACC>|centralkey=mlak|||||||EquipmentProperties#door
no access for persons of the female sex or gender|<ACC>|female=no|||||||
no access for persons of the male sex or gender|<ACC>|male=no|||||||
only accessible for disabled persons|<ACC>|access:disabled=only, disabled=only, disabled_spaces=exclusive||||||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
